Gabriel-Victor;Dupre;Gabriel-VictorDupre@cy-tech.fr;30;17.417;;"HPDA ";"IAP ";"BI ";"VISUA ";"ICC ";"INEM ";CS;"CS "
Marc;Ribeiro;MarcRibeiro@cy-tech.fr;30;16.946;;"IAP ";"HPDA ";"IAC ";"VISUA ";"INEM ";"CS ";BI;"ICC "
Susan;Sauvage;SusanSauvage@cy-tech.fr;30;16.742;;"BI ";"HPDA ";"IAP ";"ICC ";"CS ";"INEM ";VISUA;"IAC "
Denis-Adrien;Alves;Denis-AdrienAlves@cy-tech.fr;30;16.662;;"IAC ";"CS ";"VISUA ";"ICC ";"INEM ";"HPDA ";IAP;"BI "
Michel;Levy;MichelLevy@cy-tech.fr;30;16.572;;"IAP ";"CS ";"ICC ";"INEM ";"VISUA ";"HPDA ";BI;"IAC "
Adélaïde;Boulay;AdélaïdeBoulay@cy-tech.fr;30;16.54;;"IAP ";"HPDA ";"BI ";"CS ";"VISUA ";"ICC ";INEM;"IAC "
Marthe;Seguin;MartheSeguin@cy-tech.fr;30;16.529;;"ICC ";"IAP ";"IAC ";"INEM ";"VISUA ";"BI ";HPDA;"CS "
Noël;Jacquet;NoëlJacquet@cy-tech.fr;30;16.427;;"ICC ";"INEM ";"IAP ";"HPDA ";"IAC ";"VISUA ";BI;"CS "
Monique;Mallet;MoniqueMallet@cy-tech.fr;30;16.333;;"ICC ";"IAC ";"INEM ";"VISUA ";"CS ";"HPDA ";BI;"IAP "
Charles;Lamy-Besson;CharlesLamy-Besson@cy-tech.fr;30;16.301;;"HPDA ";"IAC ";"IAP ";"INEM ";"VISUA ";"ICC ";BI;"CS "
François;Herve;FrançoisHerve@cy-tech.fr;30;16.26;;"CS ";"ICC ";"VISUA ";"IAP ";"IAC ";"HPDA ";BI;"INEM "
Marine;Hamel;MarineHamel@cy-tech.fr;30;16.199;;"CS ";"HPDA ";"BI ";"IAP ";"ICC ";"INEM ";VISUA;"IAC "
Caroline;Marie;CarolineMarie@cy-tech.fr;30;16.129;;"VISUA ";"IAC ";"CS ";"IAP ";"ICC ";"HPDA ";BI;"INEM "
Jeannine;Lemaitre;JeannineLemaitre@cy-tech.fr;30;16.114;;"IAC ";"IAP ";"BI ";"HPDA ";"INEM ";"VISUA ";ICC;"CS "
Joséphine;Humbert;JoséphineHumbert@cy-tech.fr;30;16.066;;"IAP ";"HPDA ";"CS ";"INEM ";"VISUA ";"IAC ";BI;"ICC "
Benoît;Lenoir;BenoîtLenoir@cy-tech.fr;30;16.06;;"VISUA ";"CS ";"BI ";"INEM ";"IAP ";"HPDA ";ICC;"IAC "
Pénélope;Marty;PénélopeMarty@cy-tech.fr;30;16.038;;"VISUA ";"CS ";"ICC ";"INEM ";"BI ";"IAP ";HPDA;"IAC "
Alfred;Ramos;AlfredRamos@cy-tech.fr;30;15.958;;"IAC ";"ICC ";"INEM ";"BI ";"IAP ";"HPDA ";VISUA;"CS "
Philippine;Normand;PhilippineNormand@cy-tech.fr;30;15.873;;"IAC ";"IAP ";"VISUA ";"HPDA ";"INEM ";"BI ";ICC;"CS "
Luc;Dufour-Gallet;LucDufour-Gallet@cy-tech.fr;30;15.779;;"IAC ";"IAP ";"ICC ";"CS ";"VISUA ";"BI ";INEM;"HPDA "
Corinne;Gros;CorinneGros@cy-tech.fr;30;15.758;;"VISUA ";"BI ";"INEM ";"CS ";"IAP ";"HPDA ";ICC;"IAC "
Isabelle;Dijoux;IsabelleDijoux@cy-tech.fr;30;15.746;;"ICC ";"IAC ";"INEM ";"HPDA ";"IAP ";"VISUA ";BI;"CS "
Dominique;Gaillard;DominiqueGaillard@cy-tech.fr;30;15.715;;"CS ";"VISUA ";"IAP ";"INEM ";"BI ";"ICC ";HPDA;"IAC "
Pénélope;Ribeiro;PénélopeRibeiro@cy-tech.fr;30;15.709;;"BI ";"IAC ";"CS ";"INEM ";"ICC ";"IAP ";HPDA;"VISUA "
Zacharie;Marchal;ZacharieMarchal@cy-tech.fr;30;15.695;;"INEM ";"ICC ";"VISUA ";"IAP ";"IAC ";"HPDA ";BI;"CS "
Marc;Guillou;MarcGuillou@cy-tech.fr;30;15.646;;"IAC ";"CS ";"IAP ";"HPDA ";"ICC ";"VISUA ";INEM;"BI "
Benjamin;Masson;BenjaminMasson@cy-tech.fr;30;15.623;;"IAP ";"CS ";"BI ";"INEM ";"VISUA ";"ICC ";HPDA;"IAC "
Georges;Bonnet;GeorgesBonnet@cy-tech.fr;30;15.575;;"IAP ";"IAC ";"CS ";"HPDA ";"BI ";"ICC ";VISUA;"INEM "
Jérôme;Foucher;JérômeFoucher@cy-tech.fr;30;15.568;;"IAP ";"INEM ";"VISUA ";"IAC ";"CS ";"HPDA ";BI;"ICC "
Emmanuelle;Faure;EmmanuelleFaure@cy-tech.fr;30;15.567;;"CS ";"VISUA ";"INEM ";"BI ";"IAP ";"ICC ";HPDA;"IAC "
David;Louis;DavidLouis@cy-tech.fr;30;15.55;;"IAC ";"VISUA ";"INEM ";"ICC ";"HPDA ";"BI ";IAP;"CS "
Andrée;Rocher;AndréeRocher@cy-tech.fr;30;15.535;;"CS ";"IAP ";"VISUA ";"INEM ";"HPDA ";"ICC ";BI;"IAC "
Gérard;Guerin;GérardGuerin@cy-tech.fr;30;15.527;;"HPDA ";"IAC ";"ICC ";"INEM ";"VISUA ";"CS ";BI;"IAP "
Caroline;Bailly;CarolineBailly@cy-tech.fr;30;15.491;;"BI ";"VISUA ";"INEM ";"IAP ";"HPDA ";"ICC ";CS;"IAC "
Christelle;Lucas;ChristelleLucas@cy-tech.fr;30;15.474;;"ICC ";"BI ";"INEM ";"IAC ";"IAP ";"VISUA ";HPDA;"CS "
Hugues;Morel;HuguesMorel@cy-tech.fr;30;15.468;;"ICC ";"IAP ";"CS ";"INEM ";"IAC ";"HPDA ";BI;"VISUA "
Thibault-Charles;Blanc;Thibault-CharlesBlanc@cy-tech.fr;30;15.448;;"IAC ";"BI ";"INEM ";"IAP ";"VISUA ";"ICC ";HPDA;"CS "
Étienne-Gilbert;Allard;Étienne-GilbertAllard@cy-tech.fr;30;15.348;;"IAC ";"ICC ";"VISUA ";"INEM ";"CS ";"HPDA ";BI;"IAP "
Zacharie;Bernard;ZacharieBernard@cy-tech.fr;30;15.305;;"ICC ";"CS ";"IAP ";"HPDA ";"IAC ";"BI ";VISUA;"INEM "
daisy;Lopez;daisyLopez@cy-tech.fr;30;15.276;;"IAP ";"HPDA ";"CS ";"IAC ";"INEM ";"VISUA ";BI;"ICC "
Émile-Olivier;Legendre;Émile-OlivierLegendre@cy-tech.fr;30;15.221;;"IAP ";"BI ";"INEM ";"VISUA ";"HPDA ";"CS ";ICC;"IAC "
Claire;Leclerc;ClaireLeclerc@cy-tech.fr;30;15.212;;"ICC ";"IAC ";"CS ";"INEM ";"VISUA ";"BI ";HPDA;"IAP "
