Gabriel-Victor;Dupre;Gabriel-VictorDupre@cy-tech.fr;30;17.417;"IAC ";"HPDA ";"IAP ";"BI ";"VISUA ";"ICC ";"INEM ";CS;1
Marc;Ribeiro;MarcRibeiro@cy-tech.fr;30;16.946;"ICC ";"IAP ";"HPDA ";"IAC ";"VISUA ";"INEM ";"CS ";BI;2
Susan;Sauvage;SusanSauvage@cy-tech.fr;30;16.742;"IAC ";"BI ";"HPDA ";"IAP ";"ICC ";"CS ";"INEM ";VISUA;3
Denis-Adrien;Alves;Denis-AdrienAlves@cy-tech.fr;30;16.662;"BI ";"IAC ";"CS ";"VISUA ";"ICC ";"INEM ";"HPDA ";IAP;4
Michel;Levy;MichelLevy@cy-tech.fr;30;16.572;"IAC ";"IAP ";"CS ";"ICC ";"INEM ";"VISUA ";"HPDA ";BI;5
Adélaïde;Boulay;AdélaïdeBoulay@cy-tech.fr;30;16.54;"IAC ";"IAP ";"HPDA ";"BI ";"CS ";"VISUA ";"ICC ";INEM;6
Marthe;Seguin;MartheSeguin@cy-tech.fr;30;16.529;"CS ";"ICC ";"IAP ";"IAC ";"INEM ";"VISUA ";"BI ";HPDA;7
Noël;Jacquet;NoëlJacquet@cy-tech.fr;30;16.427;"CS ";"ICC ";"INEM ";"IAP ";"HPDA ";"IAC ";"VISUA ";BI;8
Monique;Mallet;MoniqueMallet@cy-tech.fr;30;16.333;"IAP ";"ICC ";"IAC ";"INEM ";"VISUA ";"CS ";"HPDA ";BI;9
Charles;Lamy-Besson;CharlesLamy-Besson@cy-tech.fr;30;16.301;"CS ";"HPDA ";"IAC ";"IAP ";"INEM ";"VISUA ";"ICC ";BI;10
François;Herve;FrançoisHerve@cy-tech.fr;30;16.26;"INEM ";"CS ";"ICC ";"VISUA ";"IAP ";"IAC ";"HPDA ";BI;11
Marine;Hamel;MarineHamel@cy-tech.fr;30;16.199;"IAC ";"CS ";"HPDA ";"BI ";"IAP ";"ICC ";"INEM ";VISUA;12
Caroline;Marie;CarolineMarie@cy-tech.fr;30;16.129;"INEM ";"VISUA ";"IAC ";"CS ";"IAP ";"ICC ";"HPDA ";BI;13
Jeannine;Lemaitre;JeannineLemaitre@cy-tech.fr;30;16.114;"CS ";"IAC ";"IAP ";"BI ";"HPDA ";"INEM ";"VISUA ";ICC;14
Joséphine;Humbert;JoséphineHumbert@cy-tech.fr;30;16.066;"ICC ";"IAP ";"HPDA ";"CS ";"INEM ";"VISUA ";"IAC ";BI;15
Benoît;Lenoir;BenoîtLenoir@cy-tech.fr;30;16.06;"IAC ";"VISUA ";"CS ";"BI ";"INEM ";"IAP ";"HPDA ";ICC;16
Pénélope;Marty;PénélopeMarty@cy-tech.fr;30;16.038;"IAC ";"VISUA ";"CS ";"ICC ";"INEM ";"BI ";"IAP ";HPDA;17
Alfred;Ramos;AlfredRamos@cy-tech.fr;30;15.958;"CS ";"IAC ";"ICC ";"INEM ";"BI ";"IAP ";"HPDA ";VISUA;18
Philippine;Normand;PhilippineNormand@cy-tech.fr;30;15.873;"CS ";"IAC ";"IAP ";"VISUA ";"HPDA ";"INEM ";"BI ";ICC;19
Luc;Dufour-Gallet;LucDufour-Gallet@cy-tech.fr;30;15.779;"HPDA ";"IAC ";"IAP ";"ICC ";"CS ";"VISUA ";"BI ";INEM;20
Corinne;Gros;CorinneGros@cy-tech.fr;30;15.758;"IAC ";"VISUA ";"BI ";"INEM ";"CS ";"IAP ";"HPDA ";ICC;21
Isabelle;Dijoux;IsabelleDijoux@cy-tech.fr;30;15.746;"CS ";"ICC ";"IAC ";"INEM ";"HPDA ";"IAP ";"VISUA ";BI;22
Dominique;Gaillard;DominiqueGaillard@cy-tech.fr;30;15.715;"IAC ";"CS ";"VISUA ";"IAP ";"INEM ";"BI ";"ICC ";HPDA;23
Pénélope;Ribeiro;PénélopeRibeiro@cy-tech.fr;30;15.709;"VISUA ";"BI ";"IAC ";"CS ";"INEM ";"ICC ";"IAP ";HPDA;24
Zacharie;Marchal;ZacharieMarchal@cy-tech.fr;30;15.695;"CS ";"INEM ";"ICC ";"VISUA ";"IAP ";"IAC ";"HPDA ";BI;25
Marc;Guillou;MarcGuillou@cy-tech.fr;30;15.646;"BI ";"IAC ";"CS ";"IAP ";"HPDA ";"ICC ";"VISUA ";INEM;26
Benjamin;Masson;BenjaminMasson@cy-tech.fr;30;15.623;"IAC ";"IAP ";"CS ";"BI ";"INEM ";"VISUA ";"ICC ";HPDA;27
Georges;Bonnet;GeorgesBonnet@cy-tech.fr;30;15.575;"INEM ";"IAP ";"IAC ";"CS ";"HPDA ";"BI ";"ICC ";VISUA;28
Jérôme;Foucher;JérômeFoucher@cy-tech.fr;30;15.568;"ICC ";"IAP ";"INEM ";"VISUA ";"IAC ";"CS ";"HPDA ";BI;29
Emmanuelle;Faure;EmmanuelleFaure@cy-tech.fr;30;15.567;"IAC ";"CS ";"VISUA ";"INEM ";"BI ";"IAP ";"ICC ";HPDA;30
David;Louis;DavidLouis@cy-tech.fr;30;15.55;"CS ";"IAC ";"VISUA ";"INEM ";"ICC ";"HPDA ";"BI ";IAP;31
Andrée;Rocher;AndréeRocher@cy-tech.fr;30;15.535;"IAC ";"CS ";"IAP ";"VISUA ";"INEM ";"HPDA ";"ICC ";BI;32
Gérard;Guerin;GérardGuerin@cy-tech.fr;30;15.527;"IAP ";"HPDA ";"IAC ";"ICC ";"INEM ";"VISUA ";"CS ";BI;33
Caroline;Bailly;CarolineBailly@cy-tech.fr;30;15.491;"IAC ";"BI ";"VISUA ";"INEM ";"IAP ";"HPDA ";"ICC ";CS;34
Christelle;Lucas;ChristelleLucas@cy-tech.fr;30;15.474;"CS ";"ICC ";"BI ";"INEM ";"IAC ";"IAP ";"VISUA ";HPDA;35
Hugues;Morel;HuguesMorel@cy-tech.fr;30;15.468;"VISUA ";"ICC ";"IAP ";"CS ";"INEM ";"IAC ";"HPDA ";BI;36
Thibault-Charles;Blanc;Thibault-CharlesBlanc@cy-tech.fr;30;15.448;"CS ";"IAC ";"BI ";"INEM ";"IAP ";"VISUA ";"ICC ";HPDA;37
Étienne-Gilbert;Allard;Étienne-GilbertAllard@cy-tech.fr;30;15.348;"IAP ";"IAC ";"ICC ";"VISUA ";"INEM ";"CS ";"HPDA ";BI;38
Zacharie;Bernard;ZacharieBernard@cy-tech.fr;30;15.305;"INEM ";"ICC ";"CS ";"IAP ";"HPDA ";"IAC ";"BI ";VISUA;39
daisy;Lopez;daisyLopez@cy-tech.fr;30;15.276;"ICC ";"IAP ";"HPDA ";"CS ";"IAC ";"INEM ";"VISUA ";BI;40
Émile-Olivier;Legendre;Émile-OlivierLegendre@cy-tech.fr;30;15.221;"IAC ";"IAP ";"BI ";"INEM ";"VISUA ";"HPDA ";"CS ";ICC;41
Claire;Leclerc;ClaireLeclerc@cy-tech.fr;30;15.212;"IAP ";"ICC ";"IAC ";"CS ";"INEM ";"VISUA ";"BI ";HPDA;42
Raymond;Bonnet;RaymondBonnet@cy-tech.fr;30;15.208;"CS ";"ICC ";"IAP ";"INEM ";"IAC ";"VISUA ";"BI ";HPDA;43
Clémence;Leblanc;ClémenceLeblanc@cy-tech.fr;30;15.206;"CS ";"BI ";"IAC ";"ICC ";"INEM ";"VISUA ";"IAP ";HPDA;44
Gilbert;Marin;GilbertMarin@cy-tech.fr;30;15.169;"IAC ";"CS ";"VISUA ";"BI ";"INEM ";"IAP ";"ICC ";HPDA;45
Noémi;Humbert-Barbe;NoémiHumbert-Barbe@cy-tech.fr;30;15.128;"CS ";"BI ";"IAC ";"HPDA ";"VISUA ";"INEM ";"IAP ";ICC;46
Étienne;de;Étiennede@cy-tech.fr;30;15.089;"CS ";"INEM ";"HPDA ";"VISUA ";"IAC ";"ICC ";"BI ";IAP;47
Philippine;de;Philippinede@cy-tech.fr;30;15.056;"INEM ";"VISUA ";"CS ";"ICC ";"IAP ";"IAC ";"BI ";HPDA;48
Juliette;Thibault;JulietteThibault@cy-tech.fr;30;15.004;"IAC ";"IAP ";"VISUA ";"CS ";"INEM ";"HPDA ";"ICC ";BI;49
François;de;Françoisde@cy-tech.fr;30;14.982;"VISUA ";"ICC ";"IAP ";"INEM ";"IAC ";"CS ";"BI ";HPDA;50
Léon;du;Léondu@cy-tech.fr;30;14.927;"IAP ";"IAC ";"ICC ";"HPDA ";"INEM ";"VISUA ";"BI ";CS;51
Maurice;Alves;MauriceAlves@cy-tech.fr;30;14.918;"INEM ";"VISUA ";"IAC ";"CS ";"HPDA ";"BI ";"IAP ";ICC;52
